CITY, COUNTRY
Milano, Italy
Amsterdam, Netherlands
Bergamo, Italy
Madrid, Spain
München, Germany
Istanbul, Turkey
Dortmund, Germany
Bern, Switzerland
London, England
Brugge, Belgium
Kiev, Ukraine
Barcelona, Spain
Porto, Portugal
Tiraspol, Moldova
Torino, Italy
Villeneuve D’Ascq, France
Liverpool, England
Malmö, Sweden
Manchester, England
Paris, France
Leipzig, Germany
Sevilla, Spain
Donetsk, Ukraine
Lisboa, Portugal
Wolfsburg, Germany
Villarreal, Spain
St. Petersburg, Russia
Paris - St. Denis, France
Mönchengladbach, Germany
Herning, Denmark
Krasnodar, Russia
Roma, Italy
Moskva, Russia
Piräus, Greece
Marseille, France
Rennes, France
Budapest, Hungary
Bucuresti, Romania
Leverkusen, Germany
Beograd, Serbia
Zagreb, Croatia
Genk, Belgium
Décines-Charpieu, France
Praha, Czech Republic
Napoli, Italy
Valencia, Spain
Kharkiv, Ukraine
Sinsheim, Germany
Athen, Greece
Monaco, France
Gelsenkirchen, Germany
Eindhoven, Netherlands
Plzeň, Czech Republic
Nikosia, Cyprus
Glasgow, Scotland
Basel, Switzerland
Rotterdam, Netherlands
Maribor, Slovenia
Bruxelles, Belgium
Baku, Azerbaijan
København, Denmark
Rostov-na-Donu, Russia
Warszawa, Poland
Leicester, England
Razgrad, Bulgaria
Sofia, Bulgaria
Khimki, Russia
Cardiff, Wales
